Feature,Importance
MonthlyIncome,0.07230598384081158
Age,0.07225958211053002
TotalWorkingYears,0.05358903770031056
DailyRate,0.05167000882041082
HourlyRate,0.047865682303171876
DistanceFromHome,0.047792990022945674
MonthlyRate,0.047228459090325456
YearsAtCompany,0.04413745263176454
OverTime_Yes,0.03783014388400426
YearsWithCurrManager,0.035452097579583855
NumCompaniesWorked,0.03521241780704494
PercentSalaryHike,0.03399708678656939
EnvironmentSatisfaction,0.027282341154072007
TrainingTimesLastYear,0.026506475606102038
YearsInCurrentRole,0.026049655148757043
StockOptionLevel,0.025907503337025645
JobSatisfaction,0.024756824474366
WorkLifeBalance,0.02465477439080331
JobInvolvement,0.023972124611266087
YearsSinceLastPromotion,0.0236014816065397
RelationshipSatisfaction,0.022431241154309268
JobLevel,0.019985386029656126
Education,0.01937026809984233
MaritalStatus_Single,0.01660072320233251
BusinessTravel_Travel_Frequently,0.013158310740295855
JobRole_Laboratory Technician,0.011809087280980617
JobRole_Research Scientist,0.009489229522981152
Department_Research & Development,0.009322039995679926
JobRole_Sales Executive,0.008942833930830419
Department_Sales,0.008877257808261175
BusinessTravel_Travel_Rarely,0.008712920404113278
EducationField_Life Sciences,0.008694836285109869
MaritalStatus_Married,0.008450811375776258
Gender_Male,0.008313978058836375
EducationField_Marketing,0.007223288467474699
EducationField_Technical Degree,0.006805524741194025
EducationField_Medical,0.006400096146555643
JobRole_Sales Representative,0.006052142315675723
PerformanceRating,0.005032193920412091
JobRole_Human Resources,0.003669680778078693
JobRole_Manufacturing Director,0.0034868420387371367
EducationField_Other,0.0025584940288174794
JobRole_Manager,0.0016449648115748712
JobRole_Research Director,0.0008957259560696506
